gene frequency 
ENSG00000254415.3 2
ENSG00000254087.6 2
ENSG00000253716.4 2
ENSG00000253683.1 2
ENSG00000250327.1 2
ENSG00000250318.1 2
ENSG00000250182.3 2
ENSG00000249673.5 2
ENSG00000249115.7 2
ENSG00000248092.6 2
ENSG00000248008.2 2
ENSG00000247774.5 2
ENSG00000245958.5 2
ENSG00000245571.5 2
ENSG00000245060.5 2
ENSG00000244687.10 2
ENSG00000244462.6 2
ENSG00000243749.1 2
ENSG00000243335.7 2
ENSG00000243156.6 2
ENSG00000242498.6 2
ENSG00000242114.4 2
ENSG00000241990.4 2
ENSG00000241973.9 2
ENSG00000241878.8 2
ENSG00000241852.8 2
ENSG00000241399.5 2
ENSG00000240849.9 2
ENSG00000239713.6 2
ENSG00000239306.4 2
ENSG00000237181.1 2
ENSG00000236753.4 2
ENSG00000236540.6 2
ENSG00000236287.6 2
ENSG00000235106.7 2
ENSG00000234975.6 2
ENSG00000234518.2 2
ENSG00000234444.8 2
ENSG00000234284.5 2
ENSG00000232956.7 2
ENSG00000232859.8 2
ENSG00000231721.5 2
ENSG00000230982.1 2
ENSG00000228716.5 2
ENSG00000228439.4 2
ENSG00000228288.5 2
ENSG00000227992.1 2
ENSG00000227986.1 2
ENSG00000227671.4 2
ENSG00000226976.3 2
ENSG00000226752.6 2
ENSG00000226580.1 2
ENSG00000226465.1 2
ENSG00000226210.3 2
ENSG00000226137.5 2
ENSG00000225507.1 2
ENSG00000224616.1 2
ENSG00000224470.6 2
ENSG00000224078.11 2
ENSG00000222041.9 2
ENSG00000221988.11 2
ENSG00000221184.1 2
ENSG00000219481.9 2
ENSG00000215908.6 2
ENSG00000215717.5 2
ENSG00000215440.10 2
ENSG00000215271.7 2
ENSG00000215039.5 2
ENSG00000214765.7 2
ENSG00000214753.2 2
ENSG00000214517.7 2
ENSG00000214413.6 2
ENSG00000214367.6 2
ENSG00000214274.8 2
ENSG00000214110.3 2
ENSG00000214106.6 2
ENSG00000213762.9 2
ENSG00000213516.8 2
ENSG00000213390.9 2
ENSG00000213222.3 2
ENSG00000213079.8 2
ENSG00000211553.1 2
ENSG00000208772.1 2
