gene frequency
ENSG00000140575.11 3
ENSG00000140396.11 3
ENSG00000140264.18 3
ENSG00000140153.16 3
ENSG00000140044.11 3
ENSG00000139842.13 3
ENSG00000139697.10 3
ENSG00000139668.8 3
ENSG00000139651.10 3
ENSG00000139531.11 3
ENSG00000139350.10 3
ENSG00000138758.10 3
ENSG00000138629.14 3
ENSG00000138495.5 3
ENSG00000138449.9 3
ENSG00000138375.11 3
ENSG00000137831.13 3
ENSG00000137804.11 3
ENSG00000137171.13 3
ENSG00000137076.17 3
ENSG00000136940.12 3
ENSG00000136937.11 3
ENSG00000136875.11 3
ENSG00000136848.15 3
ENSG00000136824.17 3
ENSG00000136813.13 3
ENSG00000136811.15 3
ENSG00000136802.10 3
ENSG00000136732.13 3
ENSG00000136715.16 3
ENSG00000136527.16 3
ENSG00000136485.13 3
ENSG00000136451.7 3
ENSG00000136048.12 3
ENSG00000135966.11 3
ENSG00000135956.7 3
ENSG00000135870.10 3
ENSG00000135829.15 3
ENSG00000135677.9 3
ENSG00000135503.11 3
ENSG00000134982.15 3
ENSG00000134852.13 3
ENSG00000134153.8 3
ENSG00000134001.11 3
ENSG00000133997.10 3
ENSG00000133858.14 3
ENSG00000133835.13 3
ENSG00000133706.16 3
ENSG00000133393.11 3
ENSG00000133059.15 3
ENSG00000132846.5 3
ENSG00000132466.16 3
ENSG00000132463.12 3
ENSG00000132436.10 3
ENSG00000132313.13 3
ENSG00000132254.11 3
ENSG00000131508.14 3
ENSG00000131446.14 3
ENSG00000131370.14 3
ENSG00000131238.15 3
ENSG00000131236.15 3
ENSG00000130803.13 3
ENSG00000130734.8 3
ENSG00000130723.16 3
ENSG00000130201.6 3
ENSG00000129933.19 3
ENSG00000129559.11 3
ENSG00000129534.12 3
ENSG00000129295.7 3
ENSG00000129055.11 3
ENSG00000128944.12 3
ENSG00000128626.10 3
ENSG00000127952.15 3
ENSG00000127586.15 3
ENSG00000127334.10 3
ENSG00000127328.20 3
ENSG00000126768.11 3
ENSG00000125944.17 3
ENSG00000125863.16 3
ENSG00000125817.7 3
ENSG00000125741.4 3
ENSG00000125703.13 3
ENSG00000125633.9 3
ENSG00000125482.11 3
ENSG00000125247.14 3
ENSG00000124766.5 3
ENSG00000124614.12 3
ENSG00000124177.13 3
ENSG00000124171.7 3
ENSG00000124160.10 3
ENSG00000124151.17 3
ENSG00000123352.16 3
ENSG00000123200.15 3
ENSG00000122783.15 3
ENSG00000122779.15 3
ENSG00000122741.14 3
ENSG00000121644.17 3
ENSG00000121067.16 3
ENSG00000121039.8 3
ENSG00000120709.9 3
ENSG00000120137.6 3
ENSG00000119977.19 3
ENSG00000119729.9 3
ENSG00000119682.15 3
ENSG00000119669.4 3
ENSG00000119630.12 3
ENSG00000119446.12 3
ENSG00000119401.10 3
ENSG00000119392.13 3
ENSG00000119383.18 3
ENSG00000119318.11 3
ENSG00000119185.11 3
ENSG00000118785.12 3
ENSG00000118655.4 3
ENSG00000118640.9 3
ENSG00000118482.10 3
ENSG00000117984.11 3
ENSG00000117724.11 3
ENSG00000117519.14 3
ENSG00000117410.12 3
ENSG00000117036.10 3
ENSG00000116863.10 3
ENSG00000116497.16 3
ENSG00000116199.10 3
ENSG00000115904.11 3
ENSG00000115425.12 3
ENSG00000115355.14 3
ENSG00000115183.12 3
ENSG00000114353.15 3
ENSG00000114346.12 3
ENSG00000114331.11 3
ENSG00000114019.13 3
ENSG00000113732.7 3
ENSG00000113558.17 3
ENSG00000113368.10 3
ENSG00000113269.12 3
ENSG00000113194.11 3
ENSG00000112983.16 3
ENSG00000112981.4 3
ENSG00000112855.13 3
ENSG00000112695.10 3
ENSG00000112640.13 3
ENSG00000112624.11 3
ENSG00000112584.12 3
ENSG00000112576.11 3
ENSG00000112144.14 3
ENSG00000111679.15 3
ENSG00000111412.5 3
ENSG00000111011.16 3
ENSG00000110931.17 3
ENSG00000110917.6 3
ENSG00000110514.17 3
ENSG00000110367.10 3
ENSG00000108826.14 3
ENSG00000108557.16 3
ENSG00000108312.13 3
ENSG00000108256.7 3
ENSG00000107882.10 3
ENSG00000107819.12 3
ENSG00000107566.12 3
ENSG00000107185.9 3
ENSG00000106976.17 3
ENSG00000106692.12 3
ENSG00000106144.18 3
ENSG00000105755.6 3
ENSG00000105619.12 3
ENSG00000105612.7 3
ENSG00000105576.14 3
ENSG00000105552.13 3
ENSG00000104904.11 3
ENSG00000104490.16 3
ENSG00000103018.15 3
ENSG00000102763.14 3
ENSG00000102753.8 3
ENSG00000102606.16 3
ENSG00000102543.13 3
ENSG00000101752.10 3
ENSG00000101639.17 3
ENSG00000101596.13 3
ENSG00000101544.7 3
ENSG00000101126.14 3
ENSG00000100865.13 3
ENSG00000100852.11 3
ENSG00000100731.14 3
ENSG00000100575.12 3
ENSG00000100485.10 3
ENSG00000100393.9 3
ENSG00000100354.19 3
ENSG00000100348.8 3
ENSG00000100320.21 3
ENSG00000100207.17 3
ENSG00000100154.13 3
ENSG00000100150.15 3
ENSG00000100105.16 3
ENSG00000095564.12 3
ENSG00000095261.12 3
ENSG00000095209.10 3
ENSG00000095139.12 3
ENSG00000092964.15 3
ENSG00000092820.16 3
ENSG00000092201.8 3
ENSG00000092098.15 3
