gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
ENSG00000144736.12	-0.121325231574672	0.885745840228282	0.126151587049588	-0.961741619048999	0.336179410577001	meno_status	2.15928031487111	8.66489941469499	2.49458488692037	0.865587026600166	0.386716672588282	Interaction	-0.594191115391954	0.552008896828521	0.669486203725574	-0.887533024706685	0.374791994238193
ENSG00000196981.3	0.0206542101470901	1.02086898446155	0.144586047463181	0.142850645062067	0.88640813822585	meno_status	1.77427168170287	5.89598541812418	1.81839229147858	0.975736473376798	0.329195072747531	Interaction	-0.685540172549346	0.503818007400508	0.693631561184011	-0.988334745580415	0.322988734172753
ENSG00000141179.12	-0.0258372521064381	0.974493673496453	0.0617946009099801	-0.418115041216574	0.67586300826804	meno_status	7.95043205139644	2836.80032928583	4.07672124324691	1.9502025223251	0.0511519852923155	Interaction	-1.58838507583116	0.204255202193417	0.944969058547152	-1.68088580410583	0.0927850978576447
ENSG00000103042.7	0.217190315294752	1.24258056172197	0.138546103104408	1.56763929427217	0.116965336304115	meno_status	-1.33354310666455	0.263541848265336	3.07045338227741	-0.434314721845879	0.664059914694458	Interaction	0.356659519351683	1.42854939361701	0.819514269217208	0.435208431077547	0.663411143382831
ENSG00000232388.4	-0.00122758017931774	0.998773172989008	0.00968241333538546	-0.126784525385981	0.899110943845269	meno_status	1.44089359802917	4.22446910811203	1.86815433701577	0.771292590488475	0.440533523225273	Interaction	-0.0641051534881949	0.937906370218784	0.0787225334472996	-0.814317714141019	0.415462964307201
ENSG00000143653.9	-0.00383286229878686	0.996174473742243	0.0162351063874098	-0.236084827984818	0.813366846726074	meno_status	0.686209300472683	1.986172262882	1.48018713398866	0.463596314760251	0.642936995161448	Interaction	-0.0419965150049502	0.958873122234746	0.0712509583347506	-0.58941684415868	0.555581679820974
ENSG00000115616.2	-0.0652259322834867	0.936855773500311	0.0493893206620412	-1.32064850071155	0.186618593066757	meno_status	0.0600243623391961	1.06186241568259	0.906758734143307	0.0661966188788976	0.947221288616013	Interaction	-0.0556206541469521	0.945897890282184	0.222886484650741	-0.249547002520627	0.802937687824174
ENSG00000032219.17	-0.0535355135617051	0.947872278085425	0.144047021838857	-0.371653039946875	0.710151193036081	meno_status	-2.34587068048576	0.0957637861615869	1.89518398853387	-1.23780629990471	0.215787891932102	Interaction	0.760641547689071	2.13964846679833	0.546762219082449	1.39117430053149	0.164172578326567
ENSG00000046651.13	-0.044480528917842	0.956494223889925	0.040485446906555	-1.09867945932542	0.271907905135727	meno_status	0.411426894674819	1.50896939007813	1.28801151175893	0.319427963895266	0.749402008512722	Interaction	-0.0473714875846199	0.953733031792846	0.135227216895377	-0.350310304923827	0.726105832443558
ENSG00000261221.3	0.135144791374365	1.14470251540326	0.0484150726857921	2.79137846702076	0.00524840634344209	meno_status	1.55246097359472	4.72307926526628	1.77377013199236	0.875232334559014	0.381447502998818	Interaction	-0.308498632028597	0.73454895704045	0.350817540796603	-0.87937060196046	0.379200366478501
ENSG00000137692.10	0.0214056719711228	1.02163641684266	0.0189150337563471	1.13167506052903	0.257771070281401	meno_status	2.67573879070743	14.5230753902761	1.4522485014959	1.84247998049319	0.0654049722140595	Interaction	-0.15825754868939	0.853629902392263	0.0885715682858714	-1.78677595702723	0.0739737067863094
ENSG00000105676.12	0.0218428941508179	1.02208319660758	0.0207622220792944	1.0520499235292	0.292776645373201	meno_status	4.91847886769604	136.794372506789	2.12039142812422	2.31960891864533	0.0203620429521459	Interaction	-0.467411639309032	0.626622095029277	0.230837140883624	-2.02485456854916	0.0428822998375543
ENSG00000131473.15	-0.0112555310616858	0.988807575440413	0.0129917479492405	-0.866360023736743	0.38629275930563	meno_status	15.2086455519144	4027456.33360284	8.90530974442286	1.70781769398185	0.0876701748800752	Interaction	-0.391136016695314	0.676288163302105	0.241825474443706	-1.61743099065589	0.105785280667999
ENSG00000110917.6	-0.00323978095723743	0.996765461470121	0.00477618484272585	-0.67831984395906	0.49756891933863	meno_status	1.00615002712302	2.73505084753887	1.78914962867678	0.562362147355526	0.573869303559983	Interaction	-0.0127852910511212	0.987296093571257	0.0204628325839408	-0.624805534555127	0.532098697790639
ENSG00000140983.12	0.027757179916661	1.0281459996111	0.0154237167214533	1.79964274616459	0.0719170668598369	meno_status	2.29424187124768	9.91691486335379	1.83062719080266	1.25325455820513	0.210113080298979	Interaction	-0.131470563330321	0.876805084979576	0.105546298029471	-1.24561984441758	0.212903993351147
ENSG00000149218.4	0.0473747735453715	1.04851489109728	0.0323230329524275	1.46566609683865	0.142739274747475	meno_status	0.031856970784671	1.03236983569731	2.0423532113006	0.0155981691160972	0.987554966339608	Interaction	-0.0197282440011547	0.98046508437405	0.143174243568284	-0.137791850751045	0.890404925081353
ENSG00000096384.18	0.000447665131061318	1.00044776534805	0.000915579820875358	0.488941674832151	0.624882989982557	meno_status	1.28871156272327	3.62810895218249	1.87630210875478	0.686835854796612	0.492186172585069	Interaction	-0.00259580980316026	0.997407556397804	0.00342151541518894	-0.7586725436445	0.448048465183585
ENSG00000226479.3	0.0509341250904653	1.05225357389104	0.0301922972861032	1.68699071182997	0.0916051379488883	meno_status	6.62576128680286	754.278216087774	2.94336028746661	2.2510874102014	0.0243800016569731	Interaction	-0.616688087812793	0.539729015885662	0.319548730107174	-1.9298718151875	0.0536227224387642
ENSG00000139433.8	-0.00225583138327909	0.997746711092178	0.0371027518268487	-0.0607995707112673	0.951518832213373	meno_status	-4.1472838954002	0.0158072924904813	2.77672520566851	-1.49358816167109	0.135283295537935	Interaction	0.239565824780441	1.27069732524551	0.146714309132288	1.63287293650705	0.102495723147705
ENSG00000116251.8	-0.00517925153069283	0.994834137667202	0.00618311028087344	-0.837645019322087	0.402230100680951	meno_status	-0.234861153900663	0.790680624928216	1.87888343761894	-0.125000385440779	0.900523245195809	Interaction	0.00210116885824555	1.00210337786042	0.031478469387408	0.0667493972590057	0.946781208643469
ENSG00000154370.12	0.0342660417205684	1.03485988601323	0.115765246229931	0.295995930009165	0.767233189590655	meno_status	-5.18217972748641	0.00561575225434548	5.23128956045487	-0.99061228930249	0.321874934532329	Interaction	1.03855016986532	2.82511810234767	1.02963121875387	1.0086622772785	0.313136628902965
ENSG00000028839.8	-0.108817573935846	0.896894019421081	0.100090729210724	-1.08718934105025	0.276953140477802	meno_status	0.0216062505595171	1.0218413557855	2.35218789396836	0.00918559721139682	0.99267105686692	Interaction	-0.049533622921694	0.9516731595664	0.631710596995946	-0.0784118917068156	0.937500414442784
ENSG00000144401.13	0.0584920568657324	1.06023656405977	0.210893328972818	0.277353755809276	0.78150848669617	meno_status	1.47010464931918	4.34969030937531	1.60192120862827	0.917713456442738	0.358768900877135	Interaction	-0.729829046864296	0.481991380985473	0.74496341022025	-0.979684420538884	0.327241918755603
ENSG00000164074.13	-0.316614436450993	0.728611627060009	0.194116350174085	-1.6310549635157	0.102878722434767	meno_status	-1.07733768960693	0.340500838920042	1.72614192222352	-0.624130423887261	0.532541935021725	Interaction	0.428088444026346	1.53432177656239	0.719238677033062	0.595196640136564	0.551712035912551
ENSG00000257556.1	-0.0160837780181251	0.984044875272407	0.0690425915034743	-0.232954436788714	0.815796786595713	meno_status	2.02808176615137	7.59949476012367	1.23759331203583	1.63873038616797	0.101269422783373	Interaction	-0.830683630513311	0.435751291594849	0.52951072533975	-1.56877583542868	0.116700180896298
ENSG00000114423.17	-0.120245954588007	0.886702321390882	0.136231177245958	-0.882661054678474	0.377419430136045	meno_status	-2.3236994111381	0.0979107028473092	1.8864419617457	-1.2317895054602	0.218027724556487	Interaction	0.693503874258939	2.00071351464351	0.499532575934658	1.38830560341605	0.165044006669235
ENSG00000198055.9	-0.0205137423603142	0.979695233057118	0.0308929763237541	-0.664026092705766	0.506673611101622	meno_status	1.28615422925198	3.61884252144849	2.63078803870578	0.488885539362839	0.624922733957424	Interaction	-0.0930302176870609	0.911165966552102	0.17508842315882	-0.531332774655665	0.595188197444836
ENSG00000236753.4	-0.241443048290816	0.785493537714662	0.267261348018645	-0.90339680646216	0.366315334308401	meno_status	0.783581327284398	2.18929883803644	1.71450031022875	0.457031895887995	0.647648119908388	Interaction	-1.15556922347143	0.314878249790615	2.02640298741205	-0.570256375780034	0.568503824278665
ENSG00000147416.9	-0.0242778198837785	0.976014515848764	0.0267580695039357	-0.907308349737547	0.364243759939741	meno_status	-1.43683888031445	0.237677900703842	2.47511346395189	-0.58051434863124	0.561567813459537	Interaction	0.10501803428014	1.11073064140263	0.188976996843415	0.555718611441142	0.578403231456666
ENSG00000179943.7	0.252484780436602	1.28721990508076	0.189552783675042	1.33200249313905	0.182859369263301	meno_status	5.46240710533986	235.664010273223	2.95087913384545	1.85111177299272	0.0641534747380122	Interaction	-2.18351720310366	0.112644639001444	1.31642333000704	-1.65867403997769	0.0971814932448789
ENSG00000108262.14	0.0101722797463057	1.01022419326087	0.0162281906610735	0.626827719661064	0.530772171146168	meno_status	1.53211540768734	4.62795648939569	1.4886527702597	1.0291959537482	0.303387603315755	Interaction	-0.0805248680160848	0.922631959272064	0.0737068413918568	-1.09250195091091	0.274612533434776
ENSG00000272010.1	0.0737420693129688	1.07652909979303	0.0870748597922423	0.846881286848063	0.39706129391867	meno_status	-0.50549330416823	0.603207937030299	1.10374707048761	-0.457979294065002	0.646967317306304	Interaction	0.170421360020764	1.18580439663395	0.422934582917081	0.402949692232135	0.68698523395963
ENSG00000183765.19	0.0717181590193273	1.07435250482602	0.0768966197732106	0.932656847997272	0.350997171661715	meno_status	1.94020748625531	6.96019496561715	2.13125389877788	0.910359618517474	0.362632886611175	Interaction	-0.402204327833657	0.668844068267798	0.428095919956426	-0.939519180361718	0.347464249281558
ENSG00000161202.16	0.0546208389534609	1.0561400915665	0.0311395311690719	1.75406747959362	0.0794189452286903	meno_status	1.43505267471026	4.19986622969827	2.05277060120604	0.699080878237022	0.484501487827529	Interaction	-0.0876640342847092	0.916068592669419	0.107949923989133	-0.812080555920857	0.416745409508154
ENSG00000168310.9	0.00544135175018419	1.00545618279272	0.0389012849203393	0.139875887424459	0.888758053017943	meno_status	-3.47270919616815	0.0310328426132911	2.56643005716646	-1.35312832176003	0.176014639146979	Interaction	0.230043071951241	1.25865422145523	0.154268246254119	1.49118874128058	0.135911948754665
ENSG00000108557.16	-0.00629445678443603	0.993725311809402	0.0753064759453606	-0.0835845351335128	0.933386763080214	meno_status	-2.28447321458447	0.101827689321658	1.81104869089895	-1.2614090532544	0.207161508218855	Interaction	0.368037189435698	1.44489577283314	0.255153756419543	1.44241336910025	0.149185794572413
ENSG00000135773.11	-0.047536115392422	0.953576033738071	0.0398808331180399	-1.19195392061454	0.233279313764364	meno_status	-1.15379813580885	0.315436420913125	1.02557992775409	-1.1250202003617	0.260580474401119	Interaction	0.21534637698201	1.24029143097409	0.12827888368188	1.67873597587619	0.0932035112454457
ENSG00000111554.13	-0.477104547851576	0.620577645842175	0.316977133430618	-1.50517023953088	0.132280314359983	meno_status	-2.22814940171439	0.107727606304953	2.53070611599581	-0.880445733161568	0.378617890803176	Interaction	1.61893923018812	5.04773299284535	1.76949206290428	0.914917486281881	0.360234949435317
ENSG00000274605.1	-0.0414018197427645	0.959443529129904	0.0298009695757584	-1.38927760848569	0.164748350070431	meno_status	2.74665242704398	15.5903545825916	1.90602361065958	1.44103798698144	0.149573951279792	Interaction	-0.371381097914193	0.689781017355074	0.283099571914833	-1.3118391363231	0.189574416920018
ENSG00000168827.13	-0.0597804099937554	0.941971358371556	0.0690600052803104	-0.865629965580083	0.386693117316524	meno_status	2.54083206491792	12.6902256707082	1.97183960705697	1.28855919914814	0.197551375638053	Interaction	-0.383423480782871	0.68152422575379	0.313378737064582	-1.22351466591	0.221135368310993
ENSG00000074964.15	-0.0125480752877796	0.987530323548161	0.0257584528167498	-0.487143982484074	0.626156299534161	meno_status	3.17459708210815	23.9171812664682	3.06932248301363	1.03429896978149	0.300996418339773	Interaction	-0.24860890760576	0.779884920810415	0.248349091204819	-1.00104617415623	0.316804485657962
ENSG00000137601.14	0.0258644906839428	1.02620187913628	0.243448581141016	0.106242108960828	0.915390261866441	meno_status	-1.46464804827379	0.231159334088816	1.58116861701934	-0.926307309991262	0.354286298090981	Interaction	0.953972430365409	2.59600163943569	0.944795839825443	1.00971277619264	0.312632919559232
ENSG00000205726.12	-0.00724850318878889	0.992777703851615	0.274644772129445	-0.0263922853240132	0.97894444742779	meno_status	-5.5522344264072	0.00387878070350936	3.61916913356593	-1.5341185287289	0.125000495779465	Interaction	3.78009336804883	43.8201329448896	2.23347056590388	1.69247512179281	0.0905554196699107
