ENSG00000184702.16	SEPTIN5
ENSG00000070814.16	TCOF1
ENSG00000115464.13	USP34
ENSG00000140941.11	MAP1LC3B
ENSG00000233929.1	
ENSG00000125633.9	CCDC93
ENSG00000185608.7	MRPL40
ENSG00000135604.9	STX11
ENSG00000204128.5	C2orf72
ENSG00000178665.13	ZNF713
ENSG00000135862.5	LAMC1
ENSG00000130338.11	TULP4
ENSG00000101126.14	ADNP
ENSG00000183049.11	CAMK1D
ENSG00000140044.11	JDP2
ENSG00000170471.13	RALGAPB
ENSG00000047644.16	WWC3
ENSG00000168894.8	RNF181
ENSG00000005243.8	COPZ2
ENSG00000215041.8	NEURL4
ENSG00000094804.8	CDC6
ENSG00000072210.17	ALDH3A2
ENSG00000166529.13	ZSCAN21
ENSG00000082516.8	GEMIN5
ENSG00000100697.13	DICER1
ENSG00000185437.12	SH3BGR
ENSG00000162631.17	NTNG1
ENSG00000100888.11	CHD8
ENSG00000114383.8	TUSC2
ENSG00000145824.11	CXCL14
ENSG00000197217.11	ENTPD4
ENSG00000150753.10	CCT5
ENSG00000134444.12	RELCH
ENSG00000135387.18	CAPRIN1
ENSG00000122566.19	HNRNPA2B1
ENSG00000117724.11	CENPF
ENSG00000205269.5	TMEM170B
ENSG00000139977.12	NAA30
ENSG00000172935.8	MRGPRF
ENSG00000176454.12	LPCAT4
ENSG00000166199.11	ALKBH3
ENSG00000101193.7	GID8
ENSG00000188916.7	INSYN2A
ENSG00000118640.9	VAMP8
ENSG00000110717.9	NDUFS8
ENSG00000105726.15	ATP13A1
ENSG00000280798.1	
ENSG00000149503.11	INCENP
ENSG00000163110.13	PDLIM5
ENSG00000165572.7	KBTBD6
ENSG00000132155.10	RAF1
ENSG00000140632.15	GLYR1
ENSG00000006695.9	COX10
ENSG00000163633.9	C4orf36
ENSG00000177932.6	ZNF354C
ENSG00000174233.10	ADCY6
ENSG00000107282.6	APBA1
ENSG00000163320.9	CGGBP1
ENSG00000260418.1	
ENSG00000215039.5	
ENSG00000172915.17	NBEA
ENSG00000161021.10	MAML1
ENSG00000108021.18	TASOR2
ENSG00000163659.11	TIPARP
ENSG00000166135.12	HIF1AN
ENSG00000197603.12	CPLANE1
ENSG00000088325.14	TPX2
ENSG00000073050.10	XRCC1
ENSG00000162337.10	LRP5
ENSG00000089048.13	ESF1
ENSG00000166452.10	AKIP1
ENSG00000257151.1	
ENSG00000185219.14	ZNF445
ENSG00000152583.11	SPARCL1
ENSG00000226580.1	
ENSG00000137216.17	TMEM63B
ENSG00000187800.12	PEAR1
ENSG00000173320.8	STOX2
ENSG00000105835.10	NAMPT
ENSG00000115295.18	CLIP4
ENSG00000092841.17	MYL6
ENSG00000064199.5	SPA17
ENSG00000174721.9	FGFBP3
ENSG00000198794.10	SCAMP5
ENSG00000225507.1	
ENSG00000090104.10	RGS1
ENSG00000081760.15	AACS
ENSG00000243069.6	
ENSG00000184661.12	CDCA2
ENSG00000157837.14	SPPL3
ENSG00000123908.10	AGO2
ENSG00000197121.13	PGAP1
ENSG00000131351.13	HAUS8
ENSG00000250377.1	
ENSG00000166503.7	HDGFL3
ENSG00000183549.9	ACSM5
ENSG00000075702.15	WDR62
ENSG00000149346.13	SLX4IP
ENSG00000084093.14	REST
ENSG00000060339.12	CCAR1
ENSG00000101266.15	CSNK2A1
ENSG00000269386.4	
ENSG00000183137.13	CEP57L1
ENSG00000065665.19	SEC61A2
ENSG00000114416.16	FXR1
ENSG00000142188.15	TMEM50B
ENSG00000166845.12	C18orf54
ENSG00000168661.13	ZNF30
ENSG00000185220.10	PGBD2
ENSG00000177853.13	ZNF518A
ENSG00000177707.9	NECTIN3
ENSG00000102226.8	USP11
ENSG00000104517.11	UBR5
ENSG00000154723.11	ATP5PF
ENSG00000149781.11	FERMT3
ENSG00000156804.6	FBXO32
