ENSG00000165879.8	FRAT1
ENSG00000101974.13	ATP11C
ENSG00000075856.10	SART3
ENSG00000087266.14	SH3BP2
ENSG00000254911.3	
ENSG00000165806.18	CASP7
ENSG00000111224.12	PARP11
ENSG00000140750.15	ARHGAP17
ENSG00000129696.11	TTI2
ENSG00000164307.11	ERAP1
ENSG00000189171.12	S100A13
ENSG00000119638.11	NEK9
ENSG00000100461.16	RBM23
ENSG00000205403.11	CFI
ENSG00000113966.8	ARL6
ENSG00000101413.10	RPRD1B
ENSG00000132561.12	MATN2
ENSG00000105186.13	ANKRD27
ENSG00000136144.10	RCBTB1
ENSG00000257704.3	INAFM1
ENSG00000166477.11	LEO1
ENSG00000264350.1	
ENSG00000130733.9	YIPF2
ENSG00000125812.14	GZF1
ENSG00000150977.10	RILPL2
ENSG00000176845.11	METRNL
ENSG00000200170.1	
ENSG00000118058.19	KMT2A
ENSG00000163939.17	PBRM1
ENSG00000108055.9	SMC3
ENSG00000129493.13	HEATR5A
ENSG00000228801.5	
ENSG00000211642.2	IGLV10-54
ENSG00000160049.10	DFFA
ENSG00000163359.14	COL6A3
ENSG00000085449.13	WDFY1
ENSG00000141040.13	ZNF287
ENSG00000148218.14	ALAD
ENSG00000125871.12	MGME1
ENSG00000135503.11	ACVR1B
ENSG00000137073.19	UBAP2
ENSG00000133119.11	RFC3
ENSG00000114573.8	ATP6V1A
ENSG00000072952.17	MRVI1
ENSG00000177990.10	DPY19L2
ENSG00000103152.10	MPG
ENSG00000176903.4	PNMA1
ENSG00000154188.8	ANGPT1
ENSG00000019549.7	SNAI2
ENSG00000179562.2	GCC1
ENSG00000179409.9	GEMIN4
ENSG00000111906.16	HDDC2
ENSG00000128512.18	DOCK4
ENSG00000164597.12	COG5
ENSG00000150991.13	UBC
ENSG00000172661.16	WASHC2C
ENSG00000163382.10	NAXE
ENSG00000227063.5	
ENSG00000174799.9	CEP135
ENSG00000228716.5	DHFR
ENSG00000198832.9	SELENOM
ENSG00000230555.2	
ENSG00000136114.14	THSD1
ENSG00000085117.10	CD82
ENSG00000189057.9	FAM111B
ENSG00000257303.1	
ENSG00000163755.7	HPS3
ENSG00000198894.6	CIPC
ENSG00000122870.10	BICC1
ENSG00000161544.8	CYGB
ENSG00000072682.17	P4HA2
ENSG00000269985.1	
ENSG00000072786.11	STK10
ENSG00000204385.9	SLC44A4
ENSG00000139921.11	TMX1
ENSG00000185963.12	BICD2
ENSG00000011007.11	ELOA
ENSG00000172361.5	CFAP53
ENSG00000177485.6	ZBTB33
ENSG00000106415.11	GLCCI1
ENSG00000165240.16	ATP7A
ENSG00000073614.10	KDM5A
ENSG00000104889.4	RNASEH2A
ENSG00000084731.12	KIF3C
ENSG00000160256.11	FAM207A
ENSG00000069869.14	NEDD4
ENSG00000135829.15	DHX9
ENSG00000232859.8	LYRM9
ENSG00000141576.13	RNF157
ENSG00000122877.12	EGR2
ENSG00000083223.16	TUT7
ENSG00000198746.11	GPATCH3
ENSG00000227946.1	
ENSG00000185499.15	MUC1
ENSG00000114331.11	ACAP2
ENSG00000139668.8	WDFY2
ENSG00000151131.8	C12orf45
ENSG00000058804.11	NDC1
ENSG00000120868.12	APAF1
ENSG00000066084.11	DIP2B
ENSG00000062598.16	ELMO2
ENSG00000183605.15	SFXN4
ENSG00000140848.15	CPNE2
ENSG00000115935.15	WIPF1
ENSG00000150455.12	TIRAP
ENSG00000100852.11	ARHGAP5
ENSG00000146918.18	NCAPG2
ENSG00000100601.8	ALKBH1
ENSG00000169429.9	CXCL8
ENSG00000205352.9	PRR13
ENSG00000138246.14	DNAJC13
ENSG00000243449.5	C4orf48
ENSG00000154310.15	TNIK
ENSG00000178229.7	ZNF543
ENSG00000166822.11	TMEM170A
ENSG00000167900.10	TK1
ENSG00000143774.15	GUK1
ENSG00000163121.8	NEURL3
ENSG00000196535.13	MYO18A
ENSG00000149474.12	KAT14
ENSG00000077713.17	SLC25A43
ENSG00000105793.14	GTPBP10
ENSG00000138756.16	BMP2K
ENSG00000276698.1	
ENSG00000054611.12	TBC1D22A
ENSG00000183011.12	NAA38
ENSG00000133056.12	PIK3C2B
ENSG00000141219.14	C17orf80
ENSG00000145246.12	ATP10D
ENSG00000168765.14	GSTM4
ENSG00000095261.12	PSMD5
ENSG00000169905.11	TOR1AIP2
ENSG00000124766.5	SOX4
ENSG00000170248.12	PDCD6IP
ENSG00000163507.12	CIP2A
ENSG00000201302.1	
ENSG00000130725.6	UBE2M
ENSG00000111145.6	ELK3
ENSG00000060749.13	QSER1
ENSG00000122557.8	HERPUD2
ENSG00000119509.11	INVS
ENSG00000088448.13	ANKRD10
ENSG00000103363.13	ELOB
ENSG00000100596.5	SPTLC2
ENSG00000173762.6	CD7
ENSG00000089041.15	P2RX7
ENSG00000143575.13	HAX1
ENSG00000092098.15	RNF31
ENSG00000105948.12	TTC26
ENSG00000020256.18	ZFP64
ENSG00000237181.1	
ENSG00000198056.12	PRIM1
ENSG00000242299.1	
ENSG00000230479.1	
ENSG00000120158.10	RCL1
ENSG00000170144.17	HNRNPA3
ENSG00000106976.17	DNM1
ENSG00000233527.7	
ENSG00000136783.9	NIPSNAP3A
ENSG00000112624.11	BICRAL
ENSG00000197892.11	KIF13B
ENSG00000076003.4	MCM6
ENSG00000166508.16	MCM7
ENSG00000198420.8	TCAF1
ENSG00000101407.11	TTI1
ENSG00000179967.11	
ENSG00000266967.5	AARSD1
ENSG00000037280.14	FLT4
ENSG00000186153.15	WWOX
ENSG00000139354.9	GAS2L3
ENSG00000149782.10	PLCB3
ENSG00000186010.17	NDUFA13
ENSG00000147224.9	PRPS1
ENSG00000102531.15	FNDC3A
ENSG00000070214.14	SLC44A1
ENSG00000005339.11	CREBBP
ENSG00000107882.10	SUFU
ENSG00000165661.14	QSOX2
ENSG00000147684.6	NDUFB9
ENSG00000162654.8	GBP4
ENSG00000008988.8	RPS20
ENSG00000107566.12	ERLIN1
ENSG00000105298.12	CACTIN
ENSG00000254505.7	CHMP4A
ENSG00000117228.9	GBP1
ENSG00000177302.13	TOP3A
ENSG00000105229.5	
ENSG00000112655.14	PTK7
ENSG00000146648.14	EGFR
ENSG00000112981.4	NME5
ENSG00000112144.14	
ENSG00000137501.15	SYTL2
ENSG00000163029.14	SMC6
ENSG00000266036.1	
ENSG00000136872.16	ALDOB
ENSG00000163563.7	MNDA
ENSG00000173638.17	SLC19A1
ENSG00000173110.7	HSPA6
ENSG00000119401.10	TRIM32
ENSG00000198937.8	CCDC167
ENSG00000119729.9	RHOQ
ENSG00000198844.9	ARHGEF15
ENSG00000173210.18	ABLIM3
