gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new	gene_ensembl	gene_name
ENSG00000275964.1	-0.8607024157412109	0.422864950977128	0.260425572497072	-3.3049842513099903	0.0009498173690482169	age	0.0226415933277487	1.02289985970613	0.0137838455793344	1.6426180340916101	0.10046198711221101	gender	-0.690520902930432	0.501314864658822	0.612694907688727	-1.12702242872442	0.25973299823832197	Interaction	-1.27258422713152	0.28010682600380604	0.541803770771094	-2.34879175041618	0.0188344374600289	0.0651706158974634	ENSG00000275964	
ENSG00000136160.13	-0.06180444555878999	0.940066703036274	0.184100171730228	-0.335710960929224	0.7370888394427242	age	0.00391087099402538	1.00391852842915	0.0133134661537493	0.293753027863748	0.76894663054859	gender	0.0279367753142064	1.0283306664828	0.492100076021455	0.0567705161520609	0.954728000748879	Interaction	-1.19063346290668	0.30402861220584104	0.614704559525837	-1.9369198494722302	0.0527551416599545	0.0941994805848006	ENSG00000136160	EDNRB
ENSG00000154309.8	0.0579186142585259	1.0596287535291	0.178859875888463	0.323821169900867	0.746073427791483	age	0.0053948924518015294	1.00540947108902	0.0137096278258112	0.393511225858701	0.693941934359217	gender	0.34966757873980997	1.41859589876802	0.388467493999165	0.9001205612857841	0.36805609501463704	Interaction	-0.897867335590616	0.4074376616332439	0.45308641910432207	-1.98166905414105	0.0475162929106954	0.0902680729119441	ENSG00000154309	DISP1
ENSG00000066185.11	-0.418287075134103	0.658173256125736	0.19365523057581	-2.15995753840667	0.0307759568281659	age	0.008629914882454659	1.00866725994884	0.013221730684716	0.652706902616815	0.5139452516309271	gender	-0.8258014655900151	0.4378839029100399	0.702691864399741	-1.17519713465793	0.239915856331426	Interaction	-1.1826611451864	0.306462112327482	0.610654251472946	-1.93671155540755	0.0527806124415011	0.0941994805848006	ENSG00000066185	ZMYND12
ENSG00000165699.12	0.174878183035095	1.1911011114521102	0.16624340560924802	1.0519405710813199	0.292826816403773	age	0.0009671856787577961	1.00096765355365	0.0133763050043435	0.0723058930282866	0.9423584750160691	gender	0.182513904351305	1.20023083926879	0.43323008741340396	0.421286308716466	0.673546026621837	Interaction	-1.19944772226299	0.301360600712143	0.42933825908285106	-2.79371264239353	0.00521067584285761	0.0451361854467401	ENSG00000165699	TSC1
ENSG00000172594.11	-0.0140038066925503	0.986093790499831	0.188077772380507	-0.0744575316652447	0.940646332146287	age	0.00805672197620206	1.00808926469788	0.0130259329786617	0.6185140050543859	0.536236568796476	gender	-0.0676493376075836	0.934588141036988	0.485416925109192	-0.13936336808273903	0.8891630178652801	Interaction	-1.93906799993916	0.14383794429939	0.7386696133861329	-2.6250815855958702	0.008662820728460271	0.0525883923830675	ENSG00000172594	SMPDL3A
ENSG00000156587.14	0.0446569379529561	1.04566906899712	0.158441884535686	0.281850585682084	0.778058080854024	age	0.007205901797511259	1.00723192678147	0.0134083425464778	0.5374192800141561	0.590978028570623	gender	0.518333141522996	1.67922628304192	0.351202078050249	1.4758829002396598	0.139975330732515	Interaction	0.7216422898021229	2.05780995739429	0.33615067510624297	2.14678221179845	0.0318106241300532	0.0774107839295062	ENSG00000156587	UBE2L6
ENSG00000106976.17	0.0104103821810294	1.01046475873938	0.168777788747073	0.0616809964054582	0.9508168738207579	age	0.00024875656006174	1.00024878750254	0.0132999911391729	0.0187035132173185	0.9850776256038679	gender	0.165246987975717	1.1796844506066102	0.450135615975736	0.36710489486045206	0.7135407762524191	Interaction	-1.42270923648386	0.24106004274912	0.6709136940279511	-2.1205547735095	0.0339592875211451	0.0792185148751961	ENSG00000106976	DNM1
ENSG00000153790.10	-0.0793397051065487	0.923726076674961	0.19801049442885998	-0.400684344208097	0.688652538725668	age	0.009885442207794	1.00993446459445	0.013385937308336999	0.73849458428564	0.460213956961284	gender	-0.0912585318844126	0.9127816972198101	0.48560445078154707	-0.18792770893581898	0.85093332112359	Interaction	-1.17818582115067	0.307836703160269	0.473037310226659	-2.4906826495063	0.0127497944029894	0.0587562879793735	ENSG00000153790	C7orf31
ENSG00000197841.13	-0.0955714390193445	0.908853431736543	0.166612665259636	-0.5736144900534029	0.566228704161566	age	0.00036857298430072795	1.00036864091567	0.0130534201116742	0.0282357406064865	0.9774741316982231	gender	0.255960205928206	1.29170132486168	0.41159809281171394	0.621869271015538	0.534027832445492	Interaction	-1.29410114697379	0.274144168934908	0.485250280134219	-2.66687357010046	0.00765604669863067	0.0500705454090446	ENSG00000197841	ZNF181
ENSG00000231123.1	0.0962335268159145	1.10101615077044	0.113321977475354	0.8492044434791469	0.39576754115868396	age	0.00802613754141044	1.00805843332898	0.0134427452493446	0.597060897349204	0.5504667234206889	gender	0.494677939370395	1.6399699842309199	0.36621147826500805	1.35079856511877	0.17675996786526602	Interaction	-0.877994064502664	0.41561577450309	0.37375575174734493	-2.34911184750457	0.018818253093605	0.0651706158974634	ENSG00000231123	
ENSG00000241158.4	-0.270480992177722	0.763012403062537	0.21492553819791196	-1.25848698319254	0.208215691833568	age	0.00749004216453058	1.00751816269449	0.0132907749518763	0.563551951759833	0.573059094353678	gender	-0.789312592932272	0.454156878654153	0.7098665888958471	-1.1119168098332401	0.26617392042815696	Interaction	-2.01038316907013	0.133937344187679	0.7049130995045569	-2.85195887334639	0.0043450721887447205	0.0422515983480102	ENSG00000241158	
ENSG00000136783.9	-0.0906115278914803	0.913372461715472	0.210566539598477	-0.430322538729394	0.666961034019332	age	0.008693673426561391	1.0087315731550601	0.0136524906896458	0.636782959548527	0.524266227233675	gender	-0.0306152616839761	0.9698486392372591	0.473478853126314	-0.0646602514174136	0.948444511334204	Interaction	-1.07048578680464	0.34284192887360104	0.43981790564957796	-2.4339295264107297	0.0149359027653109	0.06117152195847401	ENSG00000136783	NIPSNAP3A
ENSG00000150054.17	-0.23113765543159198	0.7936302110064201	0.255862571957959	-0.903366419179006	0.366331456290391	age	0.0114026047748676	1.0114678622719802	0.0135196679244943	0.8434086427676909	0.39899993990581495	gender	0.429484622562271	1.53646545982808	0.39244906886506	1.0943703441680102	0.273792584969435	Interaction	-0.9977387302458199	0.368712257080789	0.52641444467402	-1.89534831412855	0.0580462713310519	0.0984167715176703	ENSG00000150054	MPP7
