ENSG00000187109.12	NAP1L1
ENSG00000214413.6	BBIP1
ENSG00000205542.9	TMSB4X
ENSG00000166897.13	ELFN2
ENSG00000117984.11	CTSD
ENSG00000132846.5	ZBED3
ENSG00000205664.9	
ENSG00000171940.12	ZNF217
ENSG00000214300.7	SPDYE3
ENSG00000038945.13	MSR1
ENSG00000126602.9	TRAP1
ENSG00000074527.10	NTN4
ENSG00000106330.10	MOSPD3
ENSG00000072364.11	AFF4
ENSG00000111640.13	GAPDH
ENSG00000126247.9	CAPNS1
ENSG00000182263.12	FIGN
ENSG00000011454.15	RABGAP1
ENSG00000128059.7	PPAT
ENSG00000140961.11	OSGIN1
ENSG00000248184.1	
ENSG00000103647.11	CORO2B
ENSG00000257698.1	
ENSG00000186395.6	KRT10
ENSG00000104177.16	MYEF2
ENSG00000121039.8	RDH10
ENSG00000120685.18	PROSER1
ENSG00000104142.9	VPS18
ENSG00000131873.5	CHSY1
ENSG00000165633.11	VSTM4
ENSG00000174744.12	BRMS1
ENSG00000164542.11	KIAA0895
ENSG00000104946.9	TBC1D17
ENSG00000165650.10	PDZD8
ENSG00000072062.12	PRKACA
ENSG00000271122.1	
ENSG00000155330.8	C16orf87
ENSG00000164323.11	CFAP97
ENSG00000106483.10	SFRP4
ENSG00000042980.11	ADAM28
ENSG00000269958.1	
ENSG00000137478.13	FCHSD2
ENSG00000086189.8	DIMT1
ENSG00000104388.13	RAB2A
ENSG00000089693.9	MLF2
ENSG00000122042.9	UBL3
ENSG00000072163.17	LIMS2
ENSG00000250303.3	
ENSG00000110079.15	MS4A4A
ENSG00000103005.10	USB1
ENSG00000197448.12	GSTK1
ENSG00000165511.6	
ENSG00000134247.9	PTGFRN
ENSG00000177888.7	ZBTB41
ENSG00000112276.12	BVES
ENSG00000169919.15	GUSB
ENSG00000004776.10	HSPB6
ENSG00000150471.14	ADGRL3
ENSG00000097007.16	ABL1
ENSG00000120725.11	SIL1
ENSG00000041802.9	LSG1
ENSG00000277476.1	
ENSG00000136371.8	MTHFS
ENSG00000101542.8	CDH20
ENSG00000162961.12	DPY30
ENSG00000174718.10	RESF1
ENSG00000105245.8	NUMBL
ENSG00000185621.10	LMLN
ENSG00000246705.4	H2AJ
ENSG00000104904.11	OAZ1
ENSG00000106400.10	ZNHIT1
ENSG00000169379.14	ARL13B
ENSG00000181751.8	MACIR
ENSG00000278535.3	DHRS11
ENSG00000185453.11	ZSWIM9
ENSG00000188641.11	DPYD
ENSG00000173264.12	GPR137
ENSG00000198960.9	ARMCX6
ENSG00000135108.13	FBXO21
ENSG00000129472.11	RAB2B
ENSG00000104866.9	PPP1R37
ENSG00000004487.14	KDM1A
